month,outstanding,active_clients,sched_revenue,recv_revenue_paid_month,sched_interest,recv_interest_paid_month,recv_fee_paid_month,recurrence_pct,sched_fee,new_clients,reactivated_clients,recovered_clients,recurrent_clients,disbursement,top10_concentration,early,late,on_time,unmapped,collection_rate_due_month,throughput_12m,rotation,apr_realized,yield_incl_fees,sam_penetration,cac,ltv_realized,ltv_cac_ratio,cum_unique_customers,cum_scheduled,cum_received_paid_month,cum_received_due_month,outstanding_proj,planned_disbursement,remaining_capital,recv_interest_for_month,recv_fee_for_month,recv_revenue_for_month
2024-01-31,1451512.67,268,104136.48862016667,550.9100000000001,82341.50862016667,442.41,108.5,0.8030531302753625,21794.979999999996,6.0,0.0,7.0,41.0,643782.94,0.6475656874562451,297.0,243.0,96.0,0,0.005290268639740874,581815.08,0.4008336213834082,0.00030479237911164775,0.0003795419849831556,0.0006464611999999999,13571.42857142857,5.34864077669903,0.00039411037301992856,103,104136.48862016667,550.9100000000001,550.9100000000001,1524088.3035,644805.5599999999,8548487.33,442.41,108.5,550.9100000000001
2024-02-29,1490494.76,272,119623.35549375,4334.59,84834.99549375,4127.0599999999995,327.65,0.9521223460581045,34788.36,3.0,0.0,8.0,48.0,644805.5599999999,0.6348564955706386,285.0,306.0,83.0,0,0.03623531527023977,1187638.5499999998,0.7968082692219595,0.003106361971356408,0.0033212016735117496,0.0013195983888888887,32333.333333333332,46.089622641509436,0.0014254522466446218,106,223759.84411391668,4885.5,4885.5,1565019.4980000001,586525.6699999999,8509505.24,4127.0599999999995,327.65,4334.59
2024-03-31,1508035.87,278,104972.74723516667,695.71,82246.54723516667,636.0600000000001,59.65,0.9142602521165428,22726.199999999997,4.0,0.0,7.0,45.0,586525.6699999999,0.652374575148534,282.0,251.0,76.0,0,0.00662752970007945,1756623.1199999999,1.1648417354953233,0.0035093119206278285,0.0037625768720048187,0.0019518034666666665,25000.0,50.73827272727273,0.002029530909090909,110,328732.59134908335,5581.21,5581.21,1583437.6635000003,1002854.6499999999,8491964.129999999,636.0600000000001,59.65,695.71
2024-04-30,1626700.79,282,132839.64972916667,2460.36,91412.76972916667,2483.06,152.1,1.0092262920873367,41426.880000000005,6.0,1.0,8.0,55.0,1002854.6499999999,0.6777506390711225,283.0,373.0,92.0,0,0.018521277382288943,2640812.8499999996,1.6234164673885723,0.00506099311481784,0.005293341224115956,0.0029342364999999995,0.0,68.14889830508474,0.0,118,461572.24107825,8041.57,8041.57,1708035.8295000002,1102505.93,8373299.21,2483.06,152.1,2460.36
2024-05-31,1917166.75,288,143125.59669725,1581.73,103767.54669725,1496.63,149.22,0.94619815012676,39358.05,14.0,1.0,10.0,55.0,1102505.93,0.6663698971411853,287.0,410.0,77.0,0,0.01105134257253644,3452852.87,1.8010185446831894,0.005745135381069624,0.006019143941315212,0.003836503188888889,0.0,71.81567164179104,0.0,134,604697.8377755,9623.3,9623.3,2013025.0875000001,1123701.59,8082833.25,1496.63,149.22,1581.73
2024-06-30,2217215.95,295,160551.86524508335,1431.58,128717.79524508334,1322.54,119.34,0.9238324089467581,31834.070000000007,24.0,2.0,15.0,62.0,1123701.59,0.6428813485668818,286.0,363.0,63.0,0,0.00891662017015302,4276505.28,1.9287725582165327,0.006174299986338725,0.006495784585199536,0.004751672533333333,0.0,68.66385093167702,0.0,161,765249.7030205834,11054.88,11054.88,2328076.7475000005,1294549.99,7782784.05,1322.54,119.34,1431.58
2024-07-31,2250847.19,302,173607.2999295,3875.73,131769.8099295,2150.54,1760.24,0.5548735335020757,41837.48999999999,15.0,0.0,14.0,72.0,1294549.99,0.6216797907102704,358.0,549.0,96.0,0,0.022324694880767635,5537424.05,2.460151037618862,0.0071102780460146646,0.008386654487301377,0.006152693388888889,0.0,83.87983146067415,0.0,178,938857.0029500833,14930.609999999999,14930.609999999999,2363389.5495,1292854.04,7749152.8100000005,2150.54,1760.24,3875.73
2024-08-31,2482443.31,302,166421.12739483334,10102.359999999999,141672.93739483334,6560.469999999999,3669.7099999999996,0.6493997442181827,24748.190000000002,16.0,1.0,12.0,64.0,1292854.04,0.6233831740552417,310.0,445.0,120.0,0,0.060703590692738174,6598681.97,2.6581400442937,0.010288133489345304,0.013400573345473012,0.007331868855555555,0.0,129.03592783505152,0.0,194,1105278.1303449166,25032.969999999998,25032.969999999998,2606565.4755,1544204.6400000001,7517556.6899999995,6560.469999999999,3669.7099999999996,10102.359999999999
2024-09-30,2866369.39,307,199773.44538225,6077.69,185433.54538225,4129.42,1949.1699999999998,0.679439063196708,14339.899999999994,21.0,1.0,12.0,84.0,1544204.6400000001,0.6313253924331086,300.0,694.0,70.0,0,0.03042291225628532,7758960.54,2.7068948500039625,0.011798115028572111,0.01572058242179789,0.008621067266666668,0.0,144.7007441860465,0.0,215,1305051.5757271666,31110.659999999996,31110.659999999996,3009687.8595000003,1489776.54,7133630.609999999,4129.42,1949.1699999999998,6077.69
2024-10-31,2725581.42,307,206853.63299866667,15542.09,195147.30299866668,10800.25,5144.2,0.6949033238129492,11706.329999999987,10.0,0.0,12.0,74.0,1489776.54,0.6278973056691882,230.0,624.0,107.0,0,0.0751356878518067,9389525.09,3.4449622458902733,0.016628276155607087,0.022717137603313606,0.010432805655555556,0.0,206.42809734513276,0.0,226,1511905.2087258333,46652.75,46652.75,2861860.491,1818355.14,7274418.58,10800.25,5144.2,15542.09
2024-11-30,2738534.74,307,204877.0548685,8989.09,191016.8248685,7536.36,1598.06,0.8383896478953932,13860.23000000001,12.0,2.0,11.0,71.0,1818355.14,0.6175775444061008,192.0,787.0,95.0,0,0.04387553308870841,11194926.93,4.087925840955371,0.01970073959715829,0.026297005156477805,0.0124388077,0.0,232.8110460251046,0.0,239,1716782.2635943333,55641.84,55641.84,2875461.4770000004,1751600.07,7261465.26,7536.36,1598.06,8989.09
2024-12-31,3045772.7600000002,308,210968.56569625,8232.949999999999,203035.21569625,5220.75,3281.45,0.6341287144948045,7933.350000000006,14.0,1.0,11.0,73.0,1751600.07,0.6534860630902748,130.0,526.0,107.0,0,0.03902453416616436,12639289.04,4.149780707868698,0.021384960194562784,0.02912149717008024,0.014043654488888889,0.0,251.47555118110233,0.0,254,1927750.8292905833,63874.78999999999,63874.78999999999,3198061.3980000005,1758043.8800000001,6954227.24,5220.75,3281.45,8232.949999999999
2025-01-31,2949012.91,308,186430.53328475,11151.81,172849.01328475,6637.21,4558.48,0.5951688559973672,13581.520000000019,4.0,1.0,8.0,65.0,1758043.8800000001,0.6947338626605064,86.0,782.0,67.0,0,0.05981750844947144,13912277.72,4.717604888342113,0.022906038255885865,0.03212677513940109,0.015458086355555557,0.0,290.8007751937984,0.0,258,2114181.362575333,75026.59999999999,75026.59999999999,3096463.5555000002,2110948.39,7050987.09,6637.21,4558.48,11151.81
2025-02-28,3554713.19,308,239123.07242025,10743.9,226671.55242025,6558.04,4196.009999999999,0.6103965971388416,12451.520000000019,2.0,2.0,7.0,80.0,2110948.39,0.7163867220466246,116.0,591.0,53.0,0,0.044930419684128135,14811702.389999999,4.16677847081103,0.022299952071410774,0.0324813330294099,0.016457447099999998,0.0,329.8865384615384,0.0,260,2353304.4349955833,85770.49999999999,85770.49999999999,3732448.8495,2447536.07,6445286.8100000005,6558.04,4196.009999999999,10743.9
2025-03-31,4565940.15,308,272403.828859,12604.82,259183.638859,7865.33,5056.58,0.6239938372781206,13220.190000000002,7.0,0.0,7.0,68.0,2447536.07,0.71500222139355,199.0,579.0,64.0,0,0.04627255076698804,15679026.97,3.4339098750560715,0.02286339933613018,0.033804469571208536,0.01742114107777778,0.0,368.4468913857677,0.0,267,2625708.2638545833,98375.31999999998,98375.31999999998,4794237.157500001,2725918.63,5434059.85,7865.33,5056.58,12604.82
2025-04-30,5037886.45,308,296869.931154,5960.78,283716.131154,3917.7,2043.0800000000002,0.6572461993229074,13153.799999999988,10.0,2.0,6.0,78.0,2725918.63,0.7087253107898054,118.0,494.0,103.0,0,0.02007875966699999,17048809.59,3.384119463430939,0.021191511068703074,0.031787817887285096,0.018943121766666668,0.0,376.66462093862805,0.0,277,2922578.1950085834,104336.09999999998,104336.09999999998,5289780.7725,2187558.04,4962113.55,3917.7,2043.0800000000002,5960.78
2025-05-31,5129545.7700000005,308,306129.33680366667,19238.76,294205.30680366664,9661.4,9694.880000000001,0.5021841324492847,11924.030000000028,5.0,1.0,5.0,79.0,2187558.04,0.7224100429461614,158.0,600.0,67.0,0,0.06284520196879598,18332668.34,3.5739360095426154,0.021947303653137205,0.03456231541522291,0.02036963148888889,0.0,436.66028268551224,0.0,283,3228707.53181225,123574.85999999997,123574.85999999997,5386023.0585,3905687.39,4870454.2299999995,9661.4,9694.880000000001,19238.76
2025-06-30,5944448.11,311,349270.4645240833,25452.74,319905.52452408336,25779.719999999998,992.56,1.0128465540448688,29364.939999999944,7.0,2.0,2.0,80.0,3905687.39,0.606706774668103,156.0,503.0,61.0,0,0.07287401193422398,20599800.98,3.465384943868237,0.02683707283295887,0.038245108493661514,0.022888667755555557,0.0,513.8882758620689,0.0,290,3577977.9963363335,149027.59999999998,149027.59999999998,6241670.515500001,2977248.8800000004,4055551.8899999997,25779.719999999998,992.56,25452.74
2025-07-31,6297151.600000001,312,362222.61991433334,15564.84,339405.5899143333,8573.76,7061.35,0.5508415120232524,22817.030000000028,7.0,0.0,3.0,68.0,2977248.8800000004,0.6223131486940859,161.0,697.0,63.0,0,0.04297036999975631,21963427.6,3.487835293658803,0.02617137665427918,0.037939176371913866,0.024403808444444446,0.0,554.1832996632995,0.0,297,3940200.616250667,164592.43999999997,164592.43999999997,6612009.180000001,2935523.3,3702848.3999999994,8573.76,7061.35,15564.84
2025-08-31,6834743.65,312,389516.17375725,18521.7,372129.14375725,12079.12,6489.75,0.6521604388366079,17387.030000000028,2.0,2.0,1.0,64.0,2935523.3,0.5758773864181431,93.0,627.0,53.0,0,0.04755052870164742,23300100.95,3.4090672808189373,0.025248912577653812,0.03669926571177822,0.025889001055555555,0.0,612.4218729096989,0.0,299,4329716.790007917,183114.13999999998,183114.13999999998,7176480.8325000005,3692174.63,3165256.3499999996,12079.12,6489.75,18521.7
2025-09-30,6945038.97,316,414241.49295725,17114.98,395696.75295725,12361.39,4753.59,0.7222555913007201,18544.73999999999,11.0,2.0,1.0,70.0,3692174.63,0.57237509928616,134.0,623.0,30.0,0,0.041316430852488935,25721701.72,3.7036079755791493,0.025173630985603785,0.036390189101622526,0.028579668577777776,0.0,645.9003870967741,0.0,310,4743958.282965167,200229.12,200229.12,7292290.9185,4399532.42,3054961.0300000003,12361.39,4753.59,17114.98
2025-10-31,7805330.03,320,499771.855209,13597.78,477774.975209,8938.92,4658.86,0.6573808371660668,21996.880000000005,6.0,6.0,1.0,75.0,4399532.42,0.6103891304644807,205.0,641.0,86.0,0,0.027207974715409963,27630378.490000002,3.539937245933469,0.022704997918051473,0.03296880585723775,0.030700420544444447,0.0,676.6674050632911,0.0,316,5243730.138174168,213826.9,213826.9,8195596.5315000005,4276269.81,2194669.9699999997,8938.92,4658.86,13597.78
2025-11-30,8055394.12,322,508311.367083,20057.04,484201.957083,15483.67,4573.37,0.771981807883915,24109.410000000033,11.0,6.0,1.0,80.0,4276269.81,0.6201239809728888,209.0,684.0,112.0,0,0.03945817720957039,29851182.38,3.705738283603683,0.022321841117718406,0.03232684834225723,0.03316798042222222,0.0,715.2414067278288,0.0,327,5752041.505257168,233883.94,233883.94,8458163.826000001,4703896.791,1944605.88,15483.67,4573.37,20057.04
